PolicyNo,InceptionDate,ExpiryDate,Region,Industry,RevenueBand,Employees,CyberControlsScore,Underwriter,Premium,ClaimsCount,ClaimsAmount,Year,Month,LossRatio,Frequency,Severity
POL100018,2024-09-14,2025-09-14,US,Retail,100k-500k,10,65.9,UW-B,859.86,0,0.0,2024,9,0.0,0,0.0
POL100019,2024-12-09,2025-12-09,EMEA,Other,100k-500k,20,52.5,UW-B,846.73,0,0.0,2024,12,0.0,0,0.0
POL100020,2024-10-20,2025-10-20,UK,Manufacturing,<100k,4,49.1,UW-B,237.39,0,0.0,2024,10,0.0,0,0.0
POL100021,2024-07-10,2025-07-10,US,Manufacturing,100k-500k,19,54.0,UW-C,825.51,0,0.0,2024,7,0.0,0,0.0
POL100022,2024-10-03,2025-10-03,UK,Professional Services,100k-500k,18,100.0,UW-A,764.09,0,0.0,2024,10,0.0,0,0.0
POL100023,2024-06-09,2025-06-09,US,Other,100k-500k,16,66.9,UW-B,851.07,0,0.0,2024,6,0.0,0,0.0
POL100024,2024-11-09,2025-11-09,US,Tech,<100k,5,70.4,UW-C,198.19,0,0.0,2024,11,0.0,0,0.0
POL100025,2024-01-22,2025-01-21,APAC,Tech,100k-500k,16,46.5,UW-B,885.46,1,90185.14,2024,1,101.85117340139588,1,90185.14
POL100026,2024-09-09,2025-09-09,UK,Manufacturing,100k-500k,20,37.1,UW-B,926.07,0,0.0,2024,9,0.0,0,0.0
POL100027,2024-08-23,2025-08-23,US,Other,500k-2m,34,52.4,UW-A,2884.54,0,0.0,2024,8,0.0,0,0.0
POL100028,2024-12-10,2025-12-10,UK,Tech,<100k,5,86.5,UW-C,212.74,0,0.0,2024,12,0.0,0,0.0
POL100029,2024-02-18,2025-02-17,US,Tech,100k-500k,17,69.8,UW-D,770.12,0,0.0,2024,2,0.0,0,0.0
POL100030,2024-02-28,2025-02-27,EMEA,Tech,100k-500k,15,73.8,UW-B,783.86,0,0.0,2024,2,0.0,0,0.0
POL100031,2024-06-18,2025-06-18,APAC,Tech,500k-2m,68,75.4,UW-D,2844.98,0,0.0,2024,6,0.0,0,0.0
POL100032,2024-07-06,2025-07-06,UK,Tech,100k-500k,19,55.9,UW-B,860.27,0,0.0,2024,7,0.0,0,0.0
POL100033,2024-09-27,2025-09-27,EMEA,Other,500k-2m,33,85.5,UW-A,2665.37,0,0.0,2024,9,0.0,0,0.0
POL100034,2024-07-08,2025-07-08,UK,Healthcare,500k-2m,61,54.9,UW-A,2797.25,0,0.0,2024,7,0.0,0,0.0
POL100035,2024-06-23,2025-06-23,UK,Manufacturing,2m-10m,64,85.5,UW-C,7345.49,0,0.0,2024,6,0.0,0,0.0
POL100036,2024-02-20,2025-02-19,EMEA,Manufacturing,100k-500k,14,71.5,UW-B,726.72,0,0.0,2024,2,0.0,0,0.0
POL100037,2024-12-29,2025-12-29,UK,Retail,100k-500k,8,38.1,UW-C,943.02,0,0.0,2024,12,0.0,0,0.0
POL100038,2024-02-24,2025-02-23,UK,Manufacturing,500k-2m,46,53.3,UW-C,3150.34,0,0.0,2024,2,0.0,0,0.0
POL100039,2024-08-31,2025-08-31,UK,Retail,10m+,1694,21.3,UW-D,23902.26,0,0.0,2024,8,0.0,0,0.0
POL100040,2024-11-15,2025-11-15,UK,Professional Services,2m-10m,142,81.0,UW-B,7093.37,0,0.0,2024,11,0.0,0,0.0
POL100041,2024-05-10,2025-05-10,UK,Retail,100k-500k,13,64.5,UW-B,857.24,0,0.0,2024,5,0.0,0,0.0
POL100042,2024-11-02,2025-11-02,EMEA,Retail,<100k,5,31.5,UW-A,263.77,0,0.0,2024,11,0.0,0,0.0
POL100043,2024-05-14,2025-05-14,UK,Manufacturing,100k-500k,24,70.4,UW-B,823.91,0,0.0,2024,5,0.0,0,0.0
POL100044,2024-01-21,2025-01-20,US,Other,500k-2m,28,56.7,UW-D,2684.99,0,0.0,2024,1,0.0,0,0.0
POL100045,2024-11-24,2025-11-24,UK,Professional Services,100k-500k,24,42.5,UW-A,884.43,0,0.0,2024,11,0.0,0,0.0
POL100046,2024-06-15,2025-06-15,US,Manufacturing,100k-500k,15,90.0,UW-D,735.09,0,0.0,2024,6,0.0,0,0.0
POL100047,2024-09-30,2025-09-30,EMEA,Tech,500k-2m,62,66.0,UW-D,2690.25,0,0.0,2024,9,0.0,0,0.0
POL100048,2024-03-29,2025-03-29,APAC,Manufacturing,100k-500k,11,60.5,UW-B,835.85,0,0.0,2024,3,0.0,0,0.0
POL100049,2024-11-11,2025-11-11,APAC,Professional Services,2m-10m,166,57.3,UW-A,7624.77,0,0.0,2024,11,0.0,0,0.0
POL100050,2024-01-14,2025-01-13,UK,Tech,100k-500k,14,42.2,UW-A,859.71,0,0.0,2024,1,0.0,0,0.0
POL100051,2024-08-29,2025-08-29,APAC,Professional Services,100k-500k,8,45.4,UW-A,889.8,2,163162.63,2024,8,183.37000449539224,2,81581.315
POL100052,2024-09-21,2025-09-21,UK,Healthcare,100k-500k,9,84.2,UW-A,797.99,0,0.0,2024,9,0.0,0,0.0
POL100053,2024-12-11,2025-12-11,UK,Tech,500k-2m,24,57.7,UW-B,2649.4,0,0.0,2024,12,0.0,0,0.0
POL100054,2024-02-22,2025-02-21,EMEA,Other,<100k,3,65.3,UW-A,227.56,0,0.0,2024,2,0.0,0,0.0
POL100055,2024-12-05,2025-12-05,UK,Tech,<100k,1,34.3,UW-C,239.14,0,0.0,2024,12,0.0,0,0.0
POL100056,2024-04-01,2025-04-01,UK,Other,10m+,931,35.9,UW-B,25147.49,0,0.0,2024,4,0.0,0,0.0
POL100057,2024-09-20,2025-09-20,APAC,Healthcare,<100k,1,74.1,UW-A,225.75,0,0.0,2024,9,0.0,0,0.0
POL100058,2024-02-04,2025-02-03,EMEA,Professional Services,100k-500k,8,70.6,UW-B,801.08,0,0.0,2024,2,0.0,0,0.0
POL100059,2024-07-24,2025-07-24,UK,Professional Services,100k-500k,6,91.2,UW-D,795.71,0,0.0,2024,7,0.0,0,0.0
POL100060,2024-03-21,2025-03-21,EMEA,Healthcare,100k-500k,18,85.0,UW-C,754.54,0,0.0,2024,3,0.0,0,0.0
POL100061,2024-02-19,2025-02-18,EMEA,Healthcare,100k-500k,7,61.5,UW-B,902.26,0,0.0,2024,2,0.0,0,0.0
POL100062,2024-12-25,2025-12-25,APAC,Healthcare,<100k,2,72.1,UW-C,209.87,0,0.0,2024,12,0.0,0,0.0
POL100063,2024-01-02,2025-01-01,US,Professional Services,100k-500k,10,60.2,UW-C,864.48,0,0.0,2024,1,0.0,0,0.0
POL100064,2024-02-23,2025-02-22,EMEA,Retail,100k-500k,15,95.7,UW-D,753.61,0,0.0,2024,2,0.0,0,0.0
POL100065,2024-04-15,2025-04-15,EMEA,Other,500k-2m,72,81.5,UW-A,2519.22,1,36667.51,2024,4,14.555104357698019,1,36667.51
POL100066,2024-09-16,2025-09-16,US,Tech,<100k,2,67.5,UW-D,231.65,0,0.0,2024,9,0.0,0,0.0
POL100067,2024-11-05,2025-11-05,US,Professional Services,100k-500k,16,67.8,UW-A,805.0,0,0.0,2024,11,0.0,0,0.0
POL100068,2024-07-09,2025-07-09,US,Professional Services,<100k,5,86.6,UW-D,191.17,0,0.0,2024,7,0.0,0,0.0
POL100069,2024-08-05,2025-08-05,US,Manufacturing,100k-500k,13,73.6,UW-A,698.41,0,0.0,2024,8,0.0,0,0.0
POL100070,2024-02-13,2025-02-12,APAC,Manufacturing,<100k,4,88.3,UW-D,198.71,0,0.0,2024,2,0.0,0,0.0
POL100071,2024-06-10,2025-06-10,UK,Professional Services,<100k,4,32.1,UW-D,262.14,0,0.0,2024,6,0.0,0,0.0
POL100072,2024-07-20,2025-07-20,UK,Tech,500k-2m,45,71.5,UW-A,2909.65,0,0.0,2024,7,0.0,0,0.0
POL100073,2024-09-26,2025-09-26,EMEA,Tech,100k-500k,22,57.0,UW-D,826.69,0,0.0,2024,9,0.0,0,0.0
POL100074,2024-12-16,2025-12-16,UK,Professional Services,2m-10m,132,90.0,UW-A,7097.91,0,0.0,2024,12,0.0,0,0.0
POL100075,2024-10-30,2025-10-30,US,Professional Services,10m+,330,84.9,UW-A,20518.35,0,0.0,2024,10,0.0,0,0.0
POL100076,2024-09-27,2025-09-27,UK,Other,100k-500k,13,65.4,UW-B,780.73,0,0.0,2024,9,0.0,0,0.0
POL100077,2024-08-02,2025-08-02,US,Retail,<100k,4,88.0,UW-D,198.13,0,0.0,2024,8,0.0,0,0.0
POL100078,2024-09-08,2025-09-08,APAC,Professional Services,100k-500k,21,91.5,UW-B,809.09,0,0.0,2024,9,0.0,0,0.0
POL100079,2024-07-08,2025-07-08,EMEA,Manufacturing,500k-2m,36,65.8,UW-B,2855.17,0,0.0,2024,7,0.0,0,0.0
POL100080,2024-10-22,2025-10-22,UK,Retail,100k-500k,6,100.0,UW-C,760.24,0,0.0,2024,10,0.0,0,0.0
POL100081,2024-07-31,2025-07-31,APAC,Retail,<100k,1,64.5,UW-D,208.74,0,0.0,2024,7,0.0,0,0.0
POL100082,2024-07-26,2025-07-26,UK,Tech,100k-500k,13,61.7,UW-C,850.01,0,0.0,2024,7,0.0,0,0.0
POL100083,2024-08-24,2025-08-24,UK,Professional Services,500k-2m,24,77.7,UW-A,2376.45,1,36335.56,2024,8,15.289848303141241,1,36335.56
POL100084,2024-12-03,2025-12-03,US,Other,500k-2m,34,59.4,UW-A,2957.94,0,0.0,2024,12,0.0,0,0.0
POL100085,2024-02-22,2025-02-21,APAC,Retail,<100k,3,66.3,UW-A,225.34,0,0.0,2024,2,0.0,0,0.0
POL100086,2024-10-06,2025-10-06,UK,Professional Services,500k-2m,38,85.8,UW-B,2442.22,0,0.0,2024,10,0.0,0,0.0
POL100087,2024-08-04,2025-08-04,US,Healthcare,<100k,4,65.2,UW-A,241.24,0,0.0,2024,8,0.0,0,0.0
POL100088,2024-09-08,2025-09-08,UK,Other,<100k,3,39.5,UW-A,218.75,0,0.0,2024,9,0.0,0,0.0
POL100089,2024-07-06,2025-07-06,UK,Professional Services,2m-10m,151,69.0,UW-D,7928.12,0,0.0,2024,7,0.0,0,0.0
POL100090,2024-02-10,2025-02-09,APAC,Retail,<100k,4,54.5,UW-A,236.73,0,0.0,2024,2,0.0,0,0.0
POL100091,2024-06-05,2025-06-05,US,Other,100k-500k,17,77.8,UW-B,755.57,0,0.0,2024,6,0.0,0,0.0
POL100092,2024-01-15,2025-01-14,EMEA,Tech,<100k,3,75.4,UW-B,215.99,0,0.0,2024,1,0.0,0,0.0
POL100093,2024-10-27,2025-10-27,UK,Healthcare,2m-10m,94,86.1,UW-A,6724.9,0,0.0,2024,10,0.0,0,0.0
POL100094,2024-03-05,2025-03-05,EMEA,Healthcare,500k-2m,30,78.3,UW-B,2299.3,0,0.0,2024,3,0.0,0,0.0
POL100095,2024-12-10,2025-12-10,EMEA,Healthcare,100k-500k,9,81.3,UW-B,754.21,0,0.0,2024,12,0.0,0,0.0
POL100096,2024-11-22,2025-11-22,UK,Professional Services,500k-2m,20,54.8,UW-D,2787.98,0,0.0,2024,11,0.0,0,0.0
POL100097,2024-01-09,2025-01-08,US,Professional Services,<100k,1,77.0,UW-A,222.27,0,0.0,2024,1,0.0,0,0.0
POL100098,2024-12-09,2025-12-09,APAC,Healthcare,100k-500k,21,94.3,UW-B,766.83,0,0.0,2024,12,0.0,0,0.0
POL100099,2024-05-08,2025-05-08,EMEA,Tech,100k-500k,5,54.6,UW-C,867.54,0,0.0,2024,5,0.0,0,0.0
POL100100,2024-05-15,2025-05-15,UK,Professional Services,<100k,3,92.0,UW-C,194.92,0,0.0,2024,5,0.0,0,0.0
POL100101,2024-03-03,2025-03-03,US,Tech,100k-500k,19,56.6,UW-C,835.75,0,0.0,2024,3,0.0,0,0.0
POL100102,2024-05-18,2025-05-18,EMEA,Tech,2m-10m,75,51.5,UW-D,7753.57,0,0.0,2024,5,0.0,0,0.0
POL100103,2024-03-21,2025-03-21,UK,Other,<100k,5,69.4,UW-C,206.9,0,0.0,2024,3,0.0,0,0.0
POL100104,2024-06-11,2025-06-11,US,Professional Services,100k-500k,14,75.6,UW-B,786.93,0,0.0,2024,6,0.0,0,0.0
POL100105,2024-10-15,2025-10-15,APAC,Other,<100k,4,78.6,UW-C,215.06,0,0.0,2024,10,0.0,0,0.0
POL100106,2024-09-17,2025-09-17,APAC,Tech,<100k,1,50.6,UW-B,226.26,0,0.0,2024,9,0.0,0,0.0
POL100107,2024-08-18,2025-08-18,EMEA,Retail,2m-10m,113,70.4,UW-A,7566.27,0,0.0,2024,8,0.0,0,0.0
POL100108,2024-02-10,2025-02-09,UK,Tech,100k-500k,19,54.5,UW-A,893.76,0,0.0,2024,2,0.0,0,0.0
POL100109,2024-01-28,2025-01-27,APAC,Manufacturing,100k-500k,13,42.5,UW-A,871.37,1,13509.76,2024,1,15.504045353868047,1,13509.76
POL100110,2024-05-14,2025-05-14,US,Manufacturing,500k-2m,29,50.8,UW-A,2715.91,0,0.0,2024,5,0.0,0,0.0
POL100111,2024-07-19,2025-07-19,UK,Tech,<100k,4,53.7,UW-A,237.37,2,59744.53,2024,7,251.69368496440157,2,29872.265
POL100112,2024-11-23,2025-11-23,US,Other,100k-500k,13,72.7,UW-A,829.13,0,0.0,2024,11,0.0,0,0.0
POL100113,2024-09-24,2025-09-24,EMEA,Tech,100k-500k,19,82.1,UW-D,807.81,0,0.0,2024,9,0.0,0,0.0
POL100114,2024-02-02,2025-02-01,UK,Healthcare,100k-500k,5,42.9,UW-D,920.69,0,0.0,2024,2,0.0,0,0.0
POL100115,2024-02-17,2025-02-16,APAC,Other,10m+,1993,50.3,UW-B,23845.63,0,0.0,2024,2,0.0,0,0.0
POL100116,2024-03-02,2025-03-02,APAC,Manufacturing,500k-2m,38,47.0,UW-C,2945.89,0,0.0,2024,3,0.0,0,0.0
POL100117,2024-08-03,2025-08-03,UK,Other,100k-500k,18,74.3,UW-A,911.61,0,0.0,2024,8,0.0,0,0.0
POL100118,2024-10-19,2025-10-19,APAC,Professional Services,500k-2m,27,55.4,UW-D,2687.17,0,0.0,2024,10,0.0,0,0.0
POL100119,2024-04-08,2025-04-08,APAC,Tech,<100k,4,49.2,UW-B,227.01,0,0.0,2024,4,0.0,0,0.0
POL100120,2024-06-20,2025-06-20,UK,Tech,<100k,2,77.0,UW-A,225.75,0,0.0,2024,6,0.0,0,0.0
POL100121,2024-12-25,2025-12-25,UK,Retail,<100k,3,56.2,UW-A,230.83,0,0.0,2024,12,0.0,0,0.0
POL100122,2024-08-01,2025-08-01,UK,Manufacturing,100k-500k,19,60.1,UW-A,881.95,0,0.0,2024,8,0.0,0,0.0
POL100123,2024-02-04,2025-02-03,UK,Tech,100k-500k,18,31.5,UW-A,929.07,0,0.0,2024,2,0.0,0,0.0
POL100124,2024-08-14,2025-08-14,EMEA,Healthcare,100k-500k,5,79.1,UW-A,857.37,0,0.0,2024,8,0.0,0,0.0
POL100125,2024-04-10,2025-04-10,UK,Professional Services,2m-10m,109,76.2,UW-A,7174.73,0,0.0,2024,4,0.0,0,0.0
POL100126,2024-05-10,2025-05-10,APAC,Professional Services,100k-500k,15,64.9,UW-A,893.98,0,0.0,2024,5,0.0,0,0.0
POL100127,2024-09-13,2025-09-13,APAC,Healthcare,100k-500k,7,42.0,UW-A,947.4,0,0.0,2024,9,0.0,0,0.0
POL100128,2024-01-05,2025-01-04,UK,Retail,<100k,3,83.1,UW-D,198.48,0,0.0,2024,1,0.0,0,0.0
POL100129,2024-08-05,2025-08-05,US,Manufacturing,<100k,2,55.0,UW-A,237.25,0,0.0,2024,8,0.0,0,0.0
POL100130,2024-09-11,2025-09-11,US,Tech,100k-500k,24,58.0,UW-A,853.16,0,0.0,2024,9,0.0,0,0.0
POL100131,2024-12-24,2025-12-24,US,Manufacturing,100k-500k,6,99.6,UW-C,728.22,0,0.0,2024,12,0.0,0,0.0
POL100132,2024-10-09,2025-10-09,UK,Tech,500k-2m,51,53.9,UW-D,2611.81,0,0.0,2024,10,0.0,0,0.0
POL100133,2024-07-25,2025-07-25,UK,Tech,<100k,5,76.1,UW-B,205.02,0,0.0,2024,7,0.0,0,0.0
POL100134,2024-01-15,2025-01-14,UK,Healthcare,<100k,1,73.4,UW-D,225.44,0,0.0,2024,1,0.0,0,0.0
POL100135,2024-12-11,2025-12-11,UK,Manufacturing,100k-500k,11,70.7,UW-A,856.75,0,0.0,2024,12,0.0,0,0.0
POL100136,2024-02-11,2025-02-10,APAC,Professional Services,<100k,3,69.2,UW-A,218.21,0,0.0,2024,2,0.0,0,0.0
POL100137,2024-06-27,2025-06-27,UK,Professional Services,<100k,2,70.6,UW-A,228.57,0,0.0,2024,6,0.0,0,0.0
POL100138,2024-03-03,2025-03-03,UK,Retail,500k-2m,41,68.7,UW-B,2891.32,0,0.0,2024,3,0.0,0,0.0
POL100139,2024-12-17,2025-12-17,US,Tech,<100k,5,64.2,UW-B,225.6,0,0.0,2024,12,0.0,0,0.0
POL100140,2024-08-18,2025-08-18,UK,Manufacturing,100k-500k,5,87.6,UW-C,752.79,0,0.0,2024,8,0.0,0,0.0
POL100141,2024-08-28,2025-08-28,UK,Manufacturing,100k-500k,10,45.2,UW-A,906.56,0,0.0,2024,8,0.0,0,0.0
POL100142,2024-02-21,2025-02-20,US,Tech,<100k,5,80.3,UW-C,218.32,0,0.0,2024,2,0.0,0,0.0
POL100143,2024-04-05,2025-04-05,US,Retail,100k-500k,18,77.2,UW-A,834.19,0,0.0,2024,4,0.0,0,0.0
POL100144,2024-08-09,2025-08-09,UK,Manufacturing,500k-2m,54,74.9,UW-B,2826.39,0,0.0,2024,8,0.0,0,0.0
POL100145,2024-08-18,2025-08-18,US,Professional Services,100k-500k,15,81.6,UW-B,741.79,0,0.0,2024,8,0.0,0,0.0
POL100146,2024-08-24,2025-08-24,UK,Healthcare,500k-2m,22,63.4,UW-C,2733.48,0,0.0,2024,8,0.0,0,0.0
POL100147,2024-05-22,2025-05-22,US,Tech,<100k,3,36.9,UW-A,219.09,0,0.0,2024,5,0.0,0,0.0
POL100148,2024-06-19,2025-06-19,EMEA,Healthcare,500k-2m,29,63.6,UW-C,2908.04,0,0.0,2024,6,0.0,0,0.0
POL100149,2024-01-29,2025-01-28,UK,Tech,<100k,3,50.1,UW-C,230.79,0,0.0,2024,1,0.0,0,0.0
POL100150,2024-02-05,2025-02-04,UK,Manufacturing,500k-2m,34,53.7,UW-A,2948.0,0,0.0,2024,2,0.0,0,0.0
POL100151,2024-01-13,2025-01-12,EMEA,Professional Services,100k-500k,15,46.2,UW-D,819.24,0,0.0,2024,1,0.0,0,0.0
POL100152,2024-06-08,2025-06-08,APAC,Professional Services,2m-10m,160,56.2,UW-C,8583.93,0,0.0,2024,6,0.0,0,0.0
POL100153,2024-11-22,2025-11-22,EMEA,Manufacturing,100k-500k,17,55.9,UW-B,808.88,0,0.0,2024,11,0.0,0,0.0
POL100154,2024-07-05,2025-07-05,US,Tech,<100k,5,29.3,UW-A,256.7,0,0.0,2024,7,0.0,0,0.0
POL100155,2024-08-30,2025-08-30,US,Professional Services,<100k,4,75.5,UW-B,217.61,0,0.0,2024,8,0.0,0,0.0
POL100156,2024-03-26,2025-03-26,US,Professional Services,500k-2m,32,98.0,UW-A,2492.83,0,0.0,2024,3,0.0,0,0.0
POL100157,2024-10-10,2025-10-10,EMEA,Professional Services,100k-500k,13,74.0,UW-B,803.99,0,0.0,2024,10,0.0,0,0.0
POL100158,2024-03-06,2025-03-06,EMEA,Other,500k-2m,68,61.3,UW-B,2732.45,0,0.0,2024,3,0.0,0,0.0
POL100159,2024-06-18,2025-06-18,UK,Manufacturing,<100k,2,64.2,UW-C,238.36,0,0.0,2024,6,0.0,0,0.0
POL100160,2024-02-14,2025-02-13,UK,Tech,100k-500k,9,58.6,UW-A,854.04,0,0.0,2024,2,0.0,0,0.0
POL100161,2024-03-02,2025-03-02,UK,Healthcare,<100k,1,66.3,UW-C,208.35,0,0.0,2024,3,0.0,0,0.0
POL100162,2024-05-13,2025-05-13,UK,Retail,10m+,771,56.7,UW-A,22447.29,0,0.0,2024,5,0.0,0,0.0
POL100163,2024-10-10,2025-10-10,APAC,Other,500k-2m,31,52.1,UW-B,2917.77,0,0.0,2024,10,0.0,0,0.0
POL100164,2024-01-28,2025-01-27,UK,Professional Services,2m-10m,198,88.3,UW-C,7599.49,0,0.0,2024,1,0.0,0,0.0
POL100165,2024-04-17,2025-04-17,UK,Retail,100k-500k,15,42.5,UW-B,866.73,0,0.0,2024,4,0.0,0,0.0
POL100166,2024-02-13,2025-02-12,EMEA,Retail,100k-500k,16,75.6,UW-A,789.19,0,0.0,2024,2,0.0,0,0.0
POL100167,2024-12-05,2025-12-05,UK,Retail,500k-2m,70,62.8,UW-B,2813.29,1,16661.88,2024,12,5.922560418584647,1,16661.88
POL100168,2024-10-12,2025-10-12,UK,Retail,100k-500k,16,93.4,UW-A,799.97,0,0.0,2024,10,0.0,0,0.0
POL100169,2024-11-26,2025-11-26,UK,Tech,500k-2m,63,69.5,UW-B,2565.68,0,0.0,2024,11,0.0,0,0.0
POL100170,2024-05-07,2025-05-07,US,Manufacturing,2m-10m,127,58.3,UW-A,8174.46,0,0.0,2024,5,0.0,0,0.0
POL100171,2024-12-13,2025-12-13,UK,Retail,2m-10m,211,59.2,UW-C,7767.49,0,0.0,2024,12,0.0,0,0.0
POL100172,2024-08-18,2025-08-18,US,Other,500k-2m,44,65.2,UW-B,2744.74,0,0.0,2024,8,0.0,0,0.0
POL100173,2024-07-08,2025-07-08,UK,Professional Services,100k-500k,8,47.8,UW-A,968.62,0,0.0,2024,7,0.0,0,0.0
POL100174,2024-08-12,2025-08-12,US,Healthcare,100k-500k,24,53.3,UW-A,858.24,0,0.0,2024,8,0.0,0,0.0
POL100175,2024-10-09,2025-10-09,UK,Other,10m+,673,31.5,UW-A,25493.68,0,0.0,2024,10,0.0,0,0.0
POL100176,2024-04-30,2025-04-30,EMEA,Healthcare,<100k,2,51.1,UW-B,240.96,0,0.0,2024,4,0.0,0,0.0
POL100177,2024-04-25,2025-04-25,UK,Manufacturing,500k-2m,64,65.8,UW-B,2620.68,0,0.0,2024,4,0.0,0,0.0
POL100178,2024-08-20,2025-08-20,UK,Manufacturing,500k-2m,21,69.3,UW-B,2501.55,0,0.0,2024,8,0.0,0,0.0
POL100179,2024-09-15,2025-09-15,US,Professional Services,100k-500k,7,35.2,UW-C,949.44,0,0.0,2024,9,0.0,0,0.0
POL100180,2024-12-24,2025-12-24,UK,Healthcare,10m+,1690,46.0,UW-A,22321.42,0,0.0,2024,12,0.0,0,0.0
POL100181,2024-07-16,2025-07-16,UK,Tech,100k-500k,10,73.4,UW-D,748.56,0,0.0,2024,7,0.0,0,0.0
POL100182,2024-05-16,2025-05-16,EMEA,Retail,100k-500k,23,62.3,UW-A,887.57,0,0.0,2024,5,0.0,0,0.0
POL100183,2024-11-13,2025-11-13,UK,Tech,<100k,3,55.5,UW-A,217.96,0,0.0,2024,11,0.0,0,0.0
POL100184,2024-06-13,2025-06-13,US,Healthcare,100k-500k,24,58.6,UW-C,820.53,0,0.0,2024,6,0.0,0,0.0
POL100185,2024-08-12,2025-08-12,UK,Retail,100k-500k,23,56.7,UW-C,942.98,0,0.0,2024,8,0.0,0,0.0
POL100186,2024-11-02,2025-11-02,EMEA,Professional Services,100k-500k,12,55.3,UW-B,790.24,1,30795.82,2024,11,38.97021158129176,1,30795.82
POL100187,2024-08-21,2025-08-21,APAC,Professional Services,500k-2m,33,67.3,UW-C,2598.35,0,0.0,2024,8,0.0,0,0.0
POL100188,2024-06-20,2025-06-20,UK,Other,2m-10m,59,99.0,UW-D,6861.9,0,0.0,2024,6,0.0,0,0.0
POL100189,2024-05-31,2025-05-31,US,Tech,<100k,3,53.8,UW-C,228.03,0,0.0,2024,5,0.0,0,0.0
POL100190,2024-11-10,2025-11-10,UK,Tech,100k-500k,10,60.1,UW-A,811.78,0,0.0,2024,11,0.0,0,0.0
POL100191,2024-06-08,2025-06-08,EMEA,Tech,2m-10m,78,63.4,UW-C,7399.0,0,0.0,2024,6,0.0,0,0.0
POL100192,2024-04-05,2025-04-05,UK,Other,<100k,2,54.7,UW-C,247.58,0,0.0,2024,4,0.0,0,0.0
POL100193,2024-08-20,2025-08-20,US,Other,<100k,3,81.4,UW-C,215.19,0,0.0,2024,8,0.0,0,0.0
POL100194,2024-06-28,2025-06-28,US,Healthcare,<100k,4,29.4,UW-C,254.3,0,0.0,2024,6,0.0,0,0.0
POL100195,2024-04-22,2025-04-22,UK,Manufacturing,100k-500k,14,56.9,UW-D,851.86,0,0.0,2024,4,0.0,0,0.0
POL100196,2024-11-13,2025-11-13,UK,Tech,<100k,4,77.2,UW-B,218.31,0,0.0,2024,11,0.0,0,0.0
POL100197,2024-02-21,2025-02-20,UK,Other,10m+,1534,45.2,UW-A,24756.65,0,0.0,2024,2,0.0,0,0.0
POL100198,2024-09-24,2025-09-24,EMEA,Tech,100k-500k,6,52.6,UW-B,825.24,0,0.0,2024,9,0.0,0,0.0
